Review,Liked,cleaned,vader_neg,vader_neu,vader_pos,vader_compound,vader_pred
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,based sub par service received no effort show gratitude business not going back,0.094,0.766,0.14,0.2732,1
Owner's are really great people.!,1,owner really great people,0.0,0.461,0.539,0.6893,1
There is nothing privileged about working/eating there.,0,nothing privileged working eating,0.286,0.714,0.0,-0.3412,0
The Greek dressing was very creamy and flavorful.,1,greek dressing creamy flavorful,0.0,1.0,0.0,0.0,0
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,overall not think would take parent place made similar complaint silently felt,0.105,0.895,0.0,-0.4019,0
Now the pizza itself was good the peanut sauce was very tasty.,1,pizza good peanut sauce tasty,0.0,0.791,0.209,0.4404,1
We had 7 at our table and the service was pretty fast.,1,table service pretty fast,0.0,0.758,0.242,0.4939,1
Fantastic service here.,1,fantastic service,0.0,0.357,0.643,0.5574,1
I as well would've given godfathers zero stars if possible.,0,well would given godfather zero star possible,0.0,0.792,0.208,0.2732,1
They know how to make them here.,1,know make,0.0,1.0,0.0,0.0,0
very tough and very short on flavor!,0,tough short flavor,0.258,0.742,0.0,-0.2698,0
I hope this place sticks around.,1,hope place stick around,0.0,0.58,0.42,0.4404,1
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,bar vega not ever recall charged tap water,0.091,0.909,0.0,-0.2023,0
The restaurant atmosphere was exquisite.,1,restaurant atmosphere exquisite,0.0,1.0,0.0,0.0,0
"Good service, very clean, and inexpensive, to boot!",1,good service clean inexpensive boot,0.0,0.492,0.508,0.7339,1
The seafood was fresh and generous in portion.,1,seafood fresh generous portion,0.0,0.517,0.483,0.6808,1
"Plus, it's only 8 bucks.",1,plus buck,0.0,1.0,0.0,0.0,0
"The service was not up to par, either.",0,service not par either,0.0,1.0,0.0,0.0,0
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,thus far visited twice food absolutely delicious time,0.0,0.765,0.235,0.6115,1
Just as good as when I had it more than a year ago!,1,good year ago,0.0,0.758,0.242,0.4926,1
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,self proclaimed coffee cafe wildly disappointed,0.307,0.693,0.0,-0.4767,0
The Veggitarian platter is out of this world!,1,veggitarian platter world,0.0,1.0,0.0,0.0,0
You cant go wrong with any of the food here.,1,cant go wrong food,0.0,0.779,0.221,0.3724,1
You can't beat that.,1,not beat,0.0,1.0,0.0,0.0,0
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,stopped place madison ironman friendly kind staff,0.095,0.548,0.357,0.7408,1
The chefs were friendly and did a good job.,1,chef friendly good job,0.0,0.496,0.504,0.7269,1
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,better not dedicated boba tea spot even jenni pho,0.104,0.779,0.117,0.0541,1
I liked the patio and the service was outstanding.,1,liked patio service outstanding,0.0,0.469,0.531,0.7783,1
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,goat taco not skimp meat wow flavor,0.0,0.729,0.271,0.6239,1
I think not again,0,think not,0.0,1.0,0.0,0.0,0
I had the mac salad and it was pretty bland so I will not be getting that again.,0,mac salad pretty bland not getting,0.0,0.824,0.176,0.4939,1
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,went bachi burger friend recommendation not disappointed,0.0,0.797,0.203,0.3724,1
Service stinks here!,0,service stink,0.534,0.466,0.0,-0.3164,0
I waited and waited.,0,waited waited,0.0,1.0,0.0,0.0,0
"This place is not quality sushi, it is not a quality restaurant.",0,place not quality sushi not quality restaurant,0.0,1.0,0.0,0.0,0
I would definitely recommend the wings as well as the pizza.,1,would definitely recommend wing well pizza,0.0,0.49,0.51,0.743,1
Great Pizza and Salads!,1,great pizza salad,0.0,0.406,0.594,0.6588,1
Things that went wrong: - They burned the saganaki.,0,thing went wrong burned saganaki,0.307,0.693,0.0,-0.4767,0
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,waited hour breakfast could done time better home,0.0,0.838,0.162,0.4404,1
This place is amazing!,1,place amazing,0.0,0.423,0.577,0.6239,1
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,hate disagree fellow yelpers husband disappointed place,0.408,0.592,0.0,-0.8637,0
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,waited hour never got either pizza many around u came later,0.0,1.0,0.0,0.0,0
Just don't know why they were so slow.,0,not know slow,0.0,1.0,0.0,0.0,0
"The staff is great, the food is delish, and they have an incredible beer selection.",1,staff great food delish incredible beer selection,0.0,0.773,0.227,0.6249,1
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,live neighborhood disappointed not back convenient location,0.184,0.816,0.0,-0.5233,0
I didn't know pulled pork could be soooo delicious.,1,not know pulled pork could soooo delicious,0.0,0.654,0.346,0.5719,1
"You get incredibly fresh fish, prepared with care.",1,get incredibly fresh fish prepared care,0.0,0.386,0.614,0.788,1
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,go gave star rating please know third time eating bachi burger writing review,0.0,0.905,0.095,0.3182,1
I love the fact that everything on their menu is worth it.,1,love fact everything menu worth,0.0,0.596,0.404,0.7269,1
Never again will I be dining at this place!,0,never dining place,0.0,1.0,0.0,0.0,0
The food was excellent and service was very good.,1,food excellent service good,0.0,0.504,0.496,0.7841,1
Good beer & drink selection and good food selection.,1,good beer drink selection good food selection,0.0,0.508,0.492,0.7003,1
Please stay away from the shrimp stir fried noodles.,0,please stay away shrimp stir fried noodle,0.0,0.777,0.223,0.3182,1
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,potato chip order sad could probably count many chip box probably around,0.0,1.0,0.0,0.0,0
Food was really boring.,0,food really boring,0.464,0.536,0.0,-0.3804,0
Good Service-check!,1,good service check,0.0,0.239,0.761,0.4926,1
This greedy corporation will NEVER see another dime from me!,0,greedy corporation never see another dime,0.224,0.776,0.0,-0.3802,0
"Will never, ever go back.",0,never ever go back,0.0,1.0,0.0,0.0,0
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,much like go back not get passed atrocious service never return,0.0,0.872,0.128,0.3612,1
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,summer dine charming outdoor patio delightful,0.0,0.574,0.426,0.847,1
I did not expect this to be so good!,1,not expect good,0.0,0.634,0.366,0.6166,1
Fantastic food!,1,fantastic food,0.0,0.204,0.796,0.5983,1
She ordered a toasted English muffin that came out untoasted.,0,ordered toasted english muffin came untoasted,0.0,1.0,0.0,0.0,0
The food was very good.,1,food good,0.0,0.556,0.444,0.4927,1
Never going back.,0,never going back,0.0,1.0,0.0,0.0,0
"Great food for the price, which is very high quality and house made.",1,great food price high quality house made,0.0,0.745,0.255,0.6249,1
The bus boy on the other hand was so rude.,0,bus boy hand rude,0.227,0.552,0.221,-0.024,0
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,point friend basically figured place joke not mind making publicly loudly known,0.0,0.798,0.202,0.6486,1
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,back good bbq lighter fare reasonable pricing tell public back old way,0.0,0.861,0.139,0.4404,1
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,considering two u left full happy not go wrong,0.0,0.734,0.266,0.7592,1
All the bread is made in-house!,1,bread made house,0.0,1.0,0.0,0.0,0
The only downside is the service.,0,downside service,0.286,0.714,0.0,-0.25,0
"Also, the fries are without a doubt the worst fries I've ever had.",0,also fry without doubt worst fry ever,0.0,0.649,0.351,0.6602,1
Service was exceptional and food was a good as all the reviews.,1,service exceptional food good review,0.0,0.775,0.225,0.4404,1
"A couple of months later, I returned and had an amazing meal.",1,couple month later returned amazing meal,0.0,0.703,0.297,0.5859,1
Favorite place in town for shawarrrrrrma!!!!!!,1,favorite place town shawarrrrrrma,0.0,0.545,0.455,0.6331,1
The black eyed peas and sweet potatoes... UNREAL!,1,black eyed pea sweet potato unreal,0.0,0.68,0.32,0.5093,1
You won't be disappointed.,1,not disappointed,0.0,0.54,0.46,0.3724,1
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,could serve vinaigrette may make better overall dish still good,0.0,0.762,0.238,0.7383,1
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,go far many place never seen restaurant serf egg breakfast especially,0.0,1.0,0.0,0.0,0
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,mom got home immediately got sick bite salad,0.163,0.837,0.0,-0.5106,0
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,server not pleasant deal not always honor pizza hut coupon,0.276,0.724,0.0,-0.652,0
"Both of them were truly unbelievably good, and I am so glad we went back.",1,truly unbelievably good glad went back,0.0,0.525,0.475,0.8738,1
"We had fantastic service, and were pleased by the atmosphere.",1,fantastic service pleased atmosphere,0.0,0.552,0.448,0.7579,1
Everything was gross.,0,everything gross,0.608,0.392,0.0,-0.4767,0
I love this place.,1,love place,0.0,0.323,0.677,0.6369,1
Great service and food.,1,great service food,0.0,0.423,0.577,0.6249,1
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,first bathroom location dirty seat cover not replenished plain yucky,0.32,0.68,0.0,-0.7633,0
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,burger got gold standard burger kind disappointed,0.22,0.78,0.0,-0.5256,0
"OMG, the food was delicioso!",1,omg food delicioso,0.0,1.0,0.0,0.0,0
There is nothing authentic about this place.,0,nothing authentic place,0.0,1.0,0.0,0.0,0
the spaghetti is nothing special whatsoever.,0,spaghetti nothing special whatsoever,0.311,0.689,0.0,-0.3089,0
"Of all the dishes, the salmon was the best, but all were great.",1,dish salmon best great,0.0,0.571,0.429,0.85,1
The vegetables are so fresh and the sauce feels like authentic Thai.,1,vegetable fresh sauce feel like authentic thai,0.0,0.646,0.354,0.6696,1
It's worth driving up from Tucson!,1,worth driving tucson,0.0,0.695,0.305,0.2942,1
The selection was probably the worst I've seen in Vegas.....there was none.,0,selection probably worst seen vega none,0.272,0.728,0.0,-0.6249,0
Pretty good beer selection too.,1,pretty good beer selection,0.0,0.33,0.67,0.7269,1
"This place is like Chipotle, but BETTER.",1,place like chipotle better,0.0,0.427,0.573,0.7717,1
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,classy warm atmosphere fun fresh appetizer succulent steak baseball steak,0.0,0.542,0.458,0.7762,1
5 stars for the brick oven bread app!,1,star brick oven bread app,0.0,1.0,0.0,0.0,0
"I have eaten here multiple times, and each time the food was delicious.",1,eaten multiple time time food delicious,0.0,0.748,0.252,0.5719,1
We sat another ten minutes and finally gave up and left.,0,sat another ten minute finally gave left,0.0,1.0,0.0,0.0,0
He was terrible!,0,terrible,0.629,0.371,0.0,-0.5255,0
Everyone is treated equally special.,1,everyone treated equally special,0.0,0.597,0.403,0.4019,1
It shouldn't take 30 min for pancakes and eggs.,0,not take min pancake egg,0.0,1.0,0.0,0.0,0
It was delicious!!!,1,delicious,0.0,0.304,0.696,0.6784,1
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,good side staff genuinely pleasant enthusiastic real treat,0.0,0.427,0.573,0.9022,1
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,sadly gordon ramsey steak place shall sharply avoid next trip vega,0.263,0.737,0.0,-0.6124,0
As always the evening was wonderful and the food delicious!,1,always evening wonderful food delicious,0.0,0.51,0.49,0.8268,1
Best fish I've ever had in my life!,1,best fish ever life,0.0,0.609,0.391,0.6696,1
(The bathroom is just next door and very nice.),1,bathroom next door nice,0.0,1.0,0.0,0.0,0
The buffet is small and all the food they offered was BLAND.,0,buffet small food offered bland,0.0,1.0,0.0,0.0,0
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,outstanding little restaurant best food ever tasted,0.0,0.613,0.387,0.8481,1
Pretty cool I would say.,1,pretty cool would say,0.0,0.267,0.733,0.6705,1
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,definitely turn doubt back unless someone else buying,0.145,0.698,0.157,0.0516,1
Server did a great job handling our large rowdy table.,1,server great job handling large rowdy table,0.0,0.661,0.339,0.6249,1
"I find wasting food to be despicable, but this just wasn't food.",0,find wasting food despicable not food,0.156,0.844,0.0,-0.2144,0
My wife had the Lobster Bisque soup which was lukewarm.,0,wife lobster bisque soup lukewarm,0.0,1.0,0.0,0.0,0
Would come back again if I had a sushi craving while in Vegas.,1,would come back sushi craving vega,0.0,1.0,0.0,0.0,0
"The staff are great, the ambiance is great.",1,staff great ambiance great,0.0,0.423,0.577,0.8481,1
He deserves 5 stars.,1,deserves star,0.0,1.0,0.0,0.0,0
I left with a stomach ache and felt sick the rest of the day.,0,left stomach ache felt sick rest day,0.371,0.629,0.0,-0.7096,0
They dropped more than the ball.,0,dropped ball,0.0,1.0,0.0,0.0,0
"The dining space is tiny, but elegantly decorated and comfortable.",1,dining space tiny elegantly decorated comfortable,0.0,0.491,0.509,0.8519,1
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,customize order way like usual eggplant green bean stir fry love,0.0,0.72,0.28,0.7901,1
And the beans and rice were mediocre at best.,0,bean rice mediocre best,0.0,0.656,0.344,0.6369,1
Best tacos in town by far!!,1,best taco town far,0.0,0.511,0.489,0.6988,1
I took back my money and got outta there.,0,took back money got outta,0.0,1.0,0.0,0.0,0
"In an interesting part of town, this place is amazing.",1,interesting part town place amazing,0.0,0.552,0.448,0.7579,1
RUDE & INCONSIDERATE MANAGEMENT.,0,rude inconsiderate management,0.855,0.145,0.0,-0.7096,0
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,staff not friendly wait time served horrible no one even say hi first minute,0.275,0.725,0.0,-0.8089,0
I won't be back.,0,not back,0.0,1.0,0.0,0.0,0
They have great dinners.,1,great dinner,0.0,0.423,0.577,0.6249,1
The service was outshining & I definitely recommend the Halibut.,1,service outshining definitely recommend halibut,0.0,0.536,0.464,0.6369,1
The food was terrible.,0,food terrible,0.508,0.492,0.0,-0.4767,0
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,never ever go back told many people happened,0.0,1.0,0.0,0.0,0
I don't recommend unless your car breaks down in front of it and you are starving.,0,not recommend unless car break front starving,0.274,0.726,0.0,-0.6007,0
I will come back here every time I'm in Vegas.,1,come back every time vega,0.0,1.0,0.0,0.0,0
This place deserves one star and 90% has to do with the food.,0,place deserves one star food,0.0,1.0,0.0,0.0,0
This is a disgrace.,0,disgrace,0.615,0.385,0.0,-0.4939,0
Def coming back to bowl next time,1,def coming back bowl next time,0.0,1.0,0.0,0.0,0
"If you want healthy authentic or ethic food, try this place.",1,want healthy authentic ethic food try place,0.0,0.692,0.308,0.4588,1
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,1,continue come lady night andddd date night highly recommend place anyone area,0.0,0.887,0.113,0.4201,1
"I have been here several times in the past, and the experience has always been great.",1,several time past experience always great,0.0,0.773,0.227,0.6249,1
We walked away stuffed and happy about our first Vegas buffet experience.,1,walked away stuffed happy first vega buffet experience,0.0,0.748,0.252,0.5719,1
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,service excellent price pretty reasonable considering vega located inside crystal shopping mall aria,0.0,0.734,0.266,0.7845,1
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,summarize food incredible nay transcendant nothing brings joy quite like memory pneumatic condiment dispenser,0.148,0.719,0.133,-0.1074,0
I'm probably one of the few people to ever go to Ians and not like it.,0,probably one people ever go ians not like,0.123,0.877,0.0,-0.2755,0
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,kid pizza always hit lot great side dish option kiddos,0.0,0.774,0.226,0.6588,1
Service is perfect and the family atmosphere is nice to see.,1,service perfect family atmosphere nice see,0.0,0.581,0.419,0.7579,1
Cooked to perfection and the service was impeccable.,1,cooked perfection service impeccable,0.0,0.654,0.346,0.5719,1
This one is simply a disappointment.,0,one simply disappointment,0.452,0.548,0.0,-0.5106,0
"Overall, I was very disappointed with the quality of food at Bouchon.",0,overall disappointed quality food bouchon,0.253,0.747,0.0,-0.5256,0
I don't have to be an accountant to know I'm getting screwed!,0,not accountant know getting screwed,0.259,0.741,0.0,-0.5411,0
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,great place eat reminds little mom pop shop san francisco bay area,0.0,0.814,0.186,0.6249,1
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,today first taste buldogis gourmet hot dog tell ever thought possible,0.0,1.0,0.0,0.0,0
Left very frustrated.,0,left frustrated,0.649,0.351,0.0,-0.5709,0
I'll definitely be in soon again.,1,definitely soon,0.0,0.649,0.351,0.4019,1
Food was really good and I got full petty fast.,1,food really good got full petty fast,0.15,0.584,0.266,0.3384,1
Service was fantastic.,1,service fantastic,0.0,0.357,0.643,0.5574,1
TOTAL WASTE OF TIME.,0,total waste time,0.483,0.517,0.0,-0.4215,0
I don't know what kind it is but they have the best iced tea.,1,not know kind best iced tea,0.101,0.589,0.31,0.7106,1
"Come hungry, leave happy and stuffed!",1,come hungry leave happy stuffed,0.131,0.435,0.434,0.5848,1
"For service, I give them no stars.",0,service give no star,0.306,0.694,0.0,-0.296,0
I can assure you that you won't be disappointed.,1,assure not disappointed,0.0,0.548,0.452,0.6065,1
I can take a little bad service but the food sucks.,0,take little bad service food suck,0.433,0.567,0.0,-0.6546,0
Gave up trying to eat any of the crust (teeth still sore).,0,gave trying eat crust teeth still sore,0.0,1.0,0.0,0.0,0
But now I was completely grossed out.,0,completely grossed,0.29,0.71,0.0,-0.2592,0
I really enjoyed eating here.,1,really enjoyed eating,0.0,0.455,0.545,0.5563,1
First time going but I think I will quickly become a regular.,1,first time going think quickly become regular,0.0,1.0,0.0,0.0,0
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,server nice even though looked little overwhelmed need stayed professional friendly end,0.037,0.749,0.214,0.7351,1
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,dinner companion told everything fresh nice texture taste,0.0,0.697,0.303,0.6865,1
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,ground right next table large smeared stepped tracked everywhere pile green bird poop,0.0,1.0,0.0,0.0,0
"Furthermore, you can't even find hours of operation on the website!",0,furthermore not even find hour operation website,0.0,1.0,0.0,0.0,0
We've tried to like this place but after 10+ times I think we're done with them.,0,tried like place time think done,0.0,0.889,0.111,0.1901,1
What a mistake that was!,0,mistake,0.473,0.527,0.0,-0.4003,0
No complaints!,1,no complaint,1.0,0.0,0.0,-0.636,0
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,seriously good pizza expert connisseur topic,0.109,0.705,0.186,0.296,1
Waiter was a jerk.,0,waiter jerk,0.545,0.455,0.0,-0.34,0
"Strike 2, who wants to be rushed.",0,strike want rushed,0.2,0.8,0.0,-0.128,0
These are the nicest restaurant owners I've ever come across.,1,nicest restaurant owner ever come across,0.0,0.738,0.262,0.4939,1
I never come again.,0,never come,0.0,1.0,0.0,0.0,0
We loved the biscuits!!!,1,loved biscuit,0.0,0.386,0.614,0.6981,1
Service is quick and friendly.,1,service quick friendly,0.0,0.556,0.444,0.4939,1
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0,ordered appetizer took minute pizza another minute,0.0,1.0,0.0,0.0,0
So absolutley fantastic.,1,absolutley fantastic,0.0,0.34,0.66,0.5965,1
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,huge awkward lb piece cow th gristle fat,0.101,0.755,0.145,0.1779,1
definitely will come back here again.,1,definitely come back,0.0,0.649,0.351,0.4019,1
I like Steiners because it's dark and it feels like a bar.,1,like steiner dark feel like bar,0.0,0.615,0.385,0.6124,1
Wow very spicy but delicious.,1,wow spicy delicious,0.0,0.277,0.723,0.8336,1
"If you're not familiar, check it out.",1,not familiar check,0.0,1.0,0.0,0.0,0
I'll take my business dinner dollars elsewhere.,0,take business dinner dollar elsewhere,0.0,1.0,0.0,0.0,0
I'd love to go back.,1,love go back,0.0,0.488,0.512,0.6369,1
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,anyway f restaurant wonderful breakfast lunch,0.0,0.619,0.381,0.5719,1
Nothing special.,0,nothing special,0.693,0.307,0.0,-0.3089,0
Each day of the week they have a different deal and it's all so delicious!,1,day week different deal delicious,0.0,0.721,0.279,0.7213,1
"Not to mention the combination of pears, almonds and bacon is a big winner!",1,not mention combination pear almond bacon big winner,0.0,0.746,0.254,0.6239,1
Will not be back.,0,not back,0.0,1.0,0.0,0.0,0
Sauce was tasteless.,0,sauce tasteless,0.0,1.0,0.0,0.0,0
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1,food delicious spicy enough sure ask spicier prefer way,0.0,0.752,0.248,0.7414,1
My ribeye steak was cooked perfectly and had great mesquite flavor.,1,ribeye steak cooked perfectly great mesquite flavor,0.0,0.52,0.48,0.8519,1
I don't think we'll be going back anytime soon.,0,not think going back anytime soon,0.0,1.0,0.0,0.0,0
Food was so gooodd.,1,food gooodd,0.0,1.0,0.0,0.0,0
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,far sushi connoisseur definitely tell difference good food bad food certainly bad food,0.25,0.474,0.276,-0.0,0
I was so insulted.,0,insulted,0.642,0.358,0.0,-0.5563,0
The last 3 times I had lunch here has been bad.,0,last time lunch bad,0.304,0.696,0.0,-0.5423,0
The chicken wings contained the driest chicken meat I have ever eaten.,0,chicken wing contained driest chicken meat ever eaten,0.0,1.0,0.0,0.0,0
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,food good enjoyed every mouthful enjoyable relaxed venue couple small family group etc,0.0,0.538,0.462,0.9162,1
Nargile - I think you are great.,1,nargile think great,0.0,0.494,0.506,0.6249,1
Best tater tots in the southwest.,1,best tater tot southwest,0.0,0.543,0.457,0.6369,1
We loved the place.,1,loved place,0.0,0.435,0.565,0.5994,1
Definitely not worth the $3 I paid.,0,definitely not worth paid,0.199,0.478,0.323,0.2579,1
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1,vanilla ice cream creamy smooth profiterole chou pastry fresh enough,0.0,0.791,0.209,0.4019,1
Im in AZ all the time and now have my new spot.,1,im az time new spot,0.0,1.0,0.0,0.0,0
The manager was the worst.,0,manager worst,0.506,0.494,0.0,-0.6249,0
The inside is really quite nice and very clean.,1,inside really quite nice clean,0.0,0.524,0.476,0.748,1
The food was outstanding and the prices were very reasonable.,1,food outstanding price reasonable,0.0,0.692,0.308,0.6124,1
I don't think I'll be running back to Carly's anytime soon for food.,0,not think running back carly anytime soon food,0.0,1.0,0.0,0.0,0
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,due fact took minute acknowledged another minute get food kept forgetting thing,0.0,1.0,0.0,0.0,0
"Love the margaritas, too!",1,love margarita,0.0,0.4,0.6,0.6696,1
This was my first and only Vegas buffet and it did not disappoint.,1,first vega buffet not disappoint,0.0,0.842,0.158,0.3089,1
"Very good, though!",1,good though,0.0,0.365,0.635,0.54,1
The one down note is the ventilation could use some upgrading.,0,one note ventilation could use upgrading,0.0,1.0,0.0,0.0,0
Great pork sandwich.,1,great pork sandwich,0.0,0.328,0.672,0.6249,1
Don't waste your time here.,0,not waste time,0.0,0.632,0.368,0.3252,1
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,total letdown would much rather go camelback flower shop cartel coffee,0.0,1.0,0.0,0.0,0
"Third, the cheese on my friend's burger was cold.",0,third cheese friend burger cold,0.0,1.0,0.0,0.0,0
We enjoy their pizza and brunch.,1,enjoy pizza brunch,0.0,0.61,0.39,0.4939,1
The steaks are all well trimmed and also perfectly cooked.,1,steak well trimmed also perfectly cooked,0.0,0.559,0.441,0.743,1
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,group claimed would handled u beautifully,0.0,0.821,0.179,0.5719,1
I LOVED it!,1,loved,0.0,0.169,0.831,0.7118,1
We asked for the bill to leave without eating and they didn't bring that either.,0,asked bill leave without eating not bring either,0.079,0.921,0.0,-0.0516,0
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1,place jewel la vega exactly hoping find nearly ten year living,0.0,0.782,0.218,0.6486,1
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,seafood limited boiled shrimp crab leg crab leg definitely not taste fresh,0.173,0.668,0.158,0.1672,1
The selection of food was not the best.,0,selection food not best,0.325,0.675,0.0,-0.5216,0
Delicious and I will absolutely be back!,1,delicious absolutely back,0.0,0.556,0.444,0.6114,1
"This isn't a small family restaurant, this is a fine dining establishment.",1,not small family restaurant fine dining establishment,0.0,0.833,0.167,0.2023,1
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1,toro tartare cavier extraordinary liked thinly sliced wagyu white truffle,0.0,0.859,0.141,0.4215,1
I dont think I will be back for a very long time.,0,dont think back long time,0.0,1.0,0.0,0.0,0
"It was attached to a gas station, and that is rarely a good sign.",0,attached gas station rarely good sign,0.179,0.821,0.0,-0.3412,0
How awesome is that.,1,awesome,0.0,0.423,0.577,0.6249,1
I will be back many times soon.,1,back many time soon,0.0,1.0,0.0,0.0,0
The menu had so much good stuff on it i could not decide!,1,menu much good stuff could not decide,0.0,0.76,0.24,0.5378,1
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0,worse humiliated worker right front bunch horrible name calling,0.409,0.591,0.0,-0.8402,0
CONCLUSION: Very filling meals.,1,conclusion filling meal,0.0,1.0,0.0,0.0,0
Their daily specials are always a hit with my group.,1,daily special always hit group,0.0,1.0,0.0,0.0,0
And then tragedy struck.,0,tragedy struck,0.762,0.238,0.0,-0.7506,0
The pancake was also really good and pretty large at that.,1,pancake also really good pretty large,0.0,0.575,0.425,0.7688,1
"This was my first crawfish experience, and it was delicious!",1,first crawfish experience delicious,0.0,0.693,0.307,0.6114,1
Their monster chicken fried steak and eggs is my all time favorite.,1,monster chicken fried steak egg time favorite,0.0,0.786,0.214,0.4588,1
Waitress was sweet and funny.,1,waitress sweet funny,0.0,0.337,0.663,0.7096,1
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1,also taste mom multi grain pumpkin pancake pecan butter amazing fluffy delicious,0.0,0.686,0.314,0.8313,1
"I'd rather eat airline food, seriously.",0,rather eat airline food seriously,0.254,0.746,0.0,-0.1779,0
Cant say enough good things about this place.,1,cant say enough good thing place,0.256,0.744,0.0,-0.3412,0
The ambiance was incredible.,1,ambiance incredible,0.0,1.0,0.0,0.0,0
The waitress and manager are so friendly.,1,waitress manager friendly,0.0,0.593,0.407,0.6269,1
I would not recommend this place.,0,would not recommend place,0.345,0.655,0.0,-0.2755,0
Overall I wasn't very impressed with Noca.,0,overall not impressed noca,0.357,0.643,0.0,-0.4158,0
My gyro was basically lettuce only.,0,gyro basically lettuce,0.0,1.0,0.0,0.0,0
Terrible service!,0,terrible service,0.772,0.228,0.0,-0.5255,0
Thoroughly disappointed!,0,thoroughly disappointed,0.787,0.213,0.0,-0.5697,0
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1,not much pasta love homemade hand made pasta thin pizza,0.0,0.707,0.293,0.7783,1
"Give it a try, you will be happy you did.",1,give try happy,0.0,0.684,0.316,0.5719,1
